Ref,Qty,Value,Footprint,Link,Part No.,
D201 ,1,B530,Diodes_SMD:DO-214AB_Handsoldering,<a href="https://www.digikey.com/products/en?keywords=B530C-FDICT-ND">Link</a>,B530C-FDICT-ND
HS101 ,1,Heat-sink,Heatsinks:Heatsink_HF35G,<a href="https://www.digikey.com/products/en?keywords=HF35G-ND">Link</a>,HF35G-ND
J502 J503 J505 J507 ,4,DET,Pin_Headers:Pin_Header_Straight_1x01_circle_pad,np,np
J202 J201 ,2,JUMPERx3_1-2_NC,Wire_Connections_Bridges:Solder-Jumperx3-NC_1-2_SMD-Pad_Small,np,np
J203 ,1,V4,Pin_Headers:Pin_Header_Straight_1x01_circle_pad,np,np
J305 J306 J304 J303 J308 J301 ,6,Jumper_NO_Small,Wire_Connections_Bridges:Solder-Jumper-NO-SMD-Pad_Small,np,np
J307 J302 ,2,Jumper_NC_Small,Wire_Connections_Bridges:Solder-Jumper-NC-SMD-Pad_Small,np,np
J401 ,1,Header,Oddities:Dummy_Empty,<a href="https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPTC061KFXC-RC/S5598-ND/776056">Link</a>,S5598-ND
J402 J403 ,2,CONN_01X10,Oddities:Dummy_Empty,<a href="https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPTC101KFXC-RC/S5602-ND/776060">Link</a>,S5602-ND
L103 ,1,120nH,Inductors:Wurth_744912212,<a href="https://www.digikey.com/products/en?keywords=M8464CT-ND">Link</a>,M8464CT-ND
L105 L111 L101 ,3,75nH,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-16055-1-ND">Link</a>,490-16055-1-ND
L106 L108 ,2,2.7uH,Inductors:Toroid_T-60_2TH_Vertical,<a href="http://www.amidoncorp.com/t60-2/">Link</a>,T60-2
L102 ,1,470nH,Inductors:L_0805_2015_Handsolder,<a href="https://www.digikey.com/products/en?keywords=CW201212-R47JCT-ND">Link</a>,CW201212-R47JCT-ND
L104 ,1,9T #24 Bifilar T50-43,Inductors:Toroid_T-50A_TH_BF_CT_Vertical,<a href="http://www.amidoncorp.com/ft-50A-43/">Link</a>,Amidon FT50A-43
L107 ,1,8.2nH,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-16059-1-ND">Link</a>,490-16059-1-ND
L109 ,1,13nH,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-16019-1-ND">Link</a>,490-16019-1-ND
L202 ,1,6.8uH,Inductors:CDR7D28MN,<a href="https://www.digikey.com/products/en?keywords=308-1328-1-ND">Link</a>,308-1328-1-ND
L201 ,1,10uH,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=445-6396-1-ND">Link</a>,445-6396-1-ND
MOD301 ,1,HUZZAH_ESP8266_Breakout,Oddities:Adafruit_HUZZAH_ESP8266_Breakout_SM,<a href="https://www.digikey.com/products/en?keywords=1528-1223-ND">Link</a>,1528-1223-ND
P101 P103 ,2,Phoenix,Sockets:Phoenix_3.81mm_3pos,<a href="https://www.digikey.com/products/en?keywords=277-1207-ND">Link</a>,277-1207-ND
P502 P501 ,2,Phoenix,Oddities:Dummy_Empty_3,<a href="https://www.digikey.com/products/en?keywords=277-1162-ND">Link</a>,277-1162-ND
P203 ,1,AUX BATTERY,Sockets:Phoenix_3.81mm_2pos,<a href="https://www.digikey.com/products/en?keywords=277-1206-ND">Link</a>,277-1206-ND
P202 ,1,To Power Supply Board,Pin_Headers:Pin_Header_Straight_2x06,<a href="https://www.digikey.com/products/en?keywords=SAM1062-06-ND">Link</a>,SAM1062-06-ND
P201 ,1,AUX BATTERY,Oddities:Dummy_Empty_2,<a href="https://www.digikey.com/products/en?keywords=277-1161-ND">Link</a>,277-1161-ND
P301 ,1,ISP/PDI,Pin_Headers:SM_Pin_Header_Straight_2x03,<a href="https://www.digikey.com/products/en?keywords=609-3487-1-ND">Link</a>,609-3487-1-ND
P302 ,1,Thru,Pin_Headers:Pin_Header_Straight_1x01,np,np
P303 P304 ,2,Header,Pin_Headers:Pin_Header_Straight_1x06,np,np
PCB401 ,1,Circuit Board,Oddities:Dummy_Empty,<a href="https://oshpark.com/shared_projects/sZ495SMd">Link</a>,OSH Park PCB
Q102 ,1,IRF610,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical_LargePads,<a href="https://www.digikey.com/products/en?keywords=IRF610PBF-ND">Link</a>,IRF610PBF-ND
Q101 ,1,LMN400E01,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=LMN400E01DICT-ND">Link</a>,LMN400E01-7
Q103 ,1,AFT05MS004N,TO_SOT_Packages_SMD:SOT89-3_Housing_Handsoldering,<a href="https://www.digikey.com/products/en?keywords=AFT05MS004NT1CT-ND">Link</a>,AFT05MS004NT1CT-ND
R106 ,1,240 2W,Resistors_SMD:R_2512_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=A116017CT-ND">Link</a>,A116017CT-ND
R108 R501 R502 R503 R504 R209 ,6,0,Resistors_SMD:Zero_Ohm_0805_HandSoldering,np,np
R101 R102 R305 R307 R306 R310 ,6,10k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-10.0KCRCT-ND">Link</a>,311-10.0KCRCT-ND
R104 ,1,33,Resistors_SMD:R_0805_HandSoldering, ,A130459CT-ND
R105 ,1,270,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-270CRCT-ND">Link</a>,311-270CRCT-ND
