Ref,Qty,Value,Footprint,Link,Part No.,
J402 J403 ,2,CONN_01X10,Oddities:Dummy_Empty,<a href="https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPPC101KFXC-RC/S5641-ND/776100">Link</a>,S5641-ND
L106 L108 ,2,2.7uH,Inductors:Toroid_T-60_2TH_Vertical,<a href="http://www.amidoncorp.com/t60-2/">Link</a>,T60-2
L102 ,1,470nH,Inductors:L_0805_2015_Handsolder,<a href="https://www.digikey.com/products/en?keywords=CW201212-R47JCT-ND">Link</a>,CW201212-R47JCT-ND
L111 ,1,56nH,Inductors:Wurth_744912212,<a href="https://www.digikey.com/products/en?keywords=732-5641-1-ND">Link</a>,732-5641-1-ND
L104 ,1,9T #24 Bifilar T50-43,Inductors:Toroid_T-50A_TH_BF_CT_Vertical,<a href="http://www.amidoncorp.com/ft-50A-43/">Link</a>,Amidon FT50A-43
L101 ,1,82nH,Inductors:Wurth_744912212,<a href="https://www.digikey.com/products/en?keywords=732-5643-1-ND">Link</a>,732-5643-1-ND
L107 ,1,8nH,Inductors:Wurth_744913080,<a href="https://www.digikey.com/products/en?keywords=732-7281-1-ND">Link</a>,732-7281-1-ND
L109 ,1,13nH,Inductors:Wurth_744911112,<a href="https://www.digikey.com/products/en?keywords=732-6192-1-ND">Link</a>,732-6192-1-ND
L105 ,1,120nH,Inductors:Wurth_744912212,<a href="https://www.digikey.com/products/en?keywords=732-5645-1-ND">Link</a>,732-5645-1-ND
L103 ,1,7T #24 Bifilar T50-0,Inductors:Toroid_T-50A_TH_BF_CT_Vertical,<a href="http://www.amidoncorp.com/t-50-0/">Link</a>,Amidon T50-0
L110 L201 ,2,10uH,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=445-6396-1-ND">Link</a>,445-6396-1-ND
L202 ,1,6.8uH,Inductors:CDR7D28MN,<a href="https://www.digikey.com/products/en?keywords=308-1328-1-ND">Link</a>,308-1328-1-ND
MOD301 ,1,HUZZAH_ESP8266_Breakout,Oddities:Adafruit_HUZZAH_ESP8266_Breakout_SM,<a href="https://www.digikey.com/products/en?keywords=1528-1223-ND">Link</a>,1528-1223-ND
P101 P103 ,2,Phoenix,Sockets:Phoenix_3.81mm_3pos,<a href="https://www.digikey.com/products/en?keywords=277-1207-ND">Link</a>,277-1207-ND
P502 P501 ,2,Phoenix,Oddities:Dummy_Empty_3,<a href="https://www.digikey.com/products/en?keywords=277-1162-ND">Link</a>,277-1162-ND
P203 ,1,AUX BATTERY,Sockets:Phoenix_3.81mm_2pos,<a href="https://www.digikey.com/products/en?keywords=277-1206-ND">Link</a>,277-1206-ND
P202 ,1,To Power Supply Board,Pin_Headers:Pin_Header_Straight_2x06,<a href="https://www.digikey.com/products/en?keywords=SAM1062-06-ND">Link</a>,SAM1062-06-ND
P201 ,1,AUX BATTERY,Oddities:Dummy_Empty_2,<a href="https://www.digikey.com/products/en?keywords=277-1161-ND">Link</a>,277-1161-ND
P301 ,1,ISP/PDI,Pin_Headers:SM_Pin_Header_Straight_2x03,<a href="https://www.digikey.com/products/en?keywords=609-3487-1-ND">Link</a>,609-3487-1-ND
P302 ,1,Thru,Pin_Headers:Pin_Header_Straight_1x01,np,np
P303 P304 ,2,Header,Pin_Headers:Pin_Header_Straight_1x06,np,np
PCB401 ,1,Circuit Board,Oddities:Dummy_Empty,<a href="https://oshpark.com/shared_projects/sZ495SMd">Link</a>,OSH Park PCB
